text,label
"I love this product",positive
"This is terrible",negative
"Great service",positive
"Very disappointed",negative
"I love this product",positive
"This is terrible",negative
"Great service",positive
"Very disappointed",negative
"Fantastic experience, will buy again",positive
"Horrible quality, waste of money",negative
"Absolutely wonderful, exceeded my expectations",positive
"Not worth the price, very bad",negative
"Excellent customer support",positive
"Awful service, never coming back",negative
"Product was as described, happy with the purchase",positive
"Product arrived damaged and late",negative
"Highly recommend this product",positive
"Very poor quality, do not buy",negative
"Service was quick and efficient",positive
"Terrible experience, will not return",negative
